id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,113,21,9,99,653,ship,baseline,monotonic-signal
g002,lease drift,78,19,9,68,449,ship,edge,drag-penalty
g003,replica lag,64,56,32,51,350,ship,recovery,confidence-floor
g004,membership churn,105,42,24,96,606,ship,negative,lane-boundary
g005,quorum health,85,37,42,80,453,ship,baseline,monotonic-signal
g006,lease drift,34,72,32,77,298,ship,edge,drag-penalty
g007,replica lag,100,57,7,37,517,ship,recovery,confidence-floor
g008,membership churn,93,17,38,64,441,ship,negative,lane-boundary
g009,quorum health,93,70,13,82,580,ship,baseline,monotonic-signal
g010,lease drift,52,64,44,53,290,ship,edge,drag-penalty
g011,replica lag,79,28,19,43,392,ship,recovery,confidence-floor
g012,membership churn,52,48,29,42,282,ship,negative,lane-boundary
g013,quorum health,86,25,27,89,493,ship,baseline,monotonic-signal
g014,lease drift,107,16,36,74,520,ship,edge,drag-penalty
g015,replica lag,77,49,42,28,329,ship,recovery,confidence-floor
g016,membership churn,109,68,5,53,600,ship,negative,lane-boundary
g017,quorum health,85,45,9,27,421,ship,baseline,monotonic-signal
g018,lease drift,76,71,12,61,473,ship,edge,drag-penalty
g019,replica lag,75,17,36,83,411,ship,recovery,confidence-floor
g020,membership churn,34,62,29,98,336,ship,negative,lane-boundary
g021,quorum health,61,17,27,67,341,ship,baseline,monotonic-signal
g022,lease drift,78,32,6,50,432,ship,edge,drag-penalty
g023,replica lag,46,77,39,95,373,ship,recovery,confidence-floor
g024,membership churn,78,32,36,79,430,ship,negative,lane-boundary
g025,quorum health,53,73,36,76,365,ship,baseline,monotonic-signal
g026,lease drift,44,70,17,36,284,ship,edge,drag-penalty
g027,replica lag,43,36,9,63,316,ship,recovery,confidence-floor
g028,membership churn,46,57,27,81,349,ship,negative,lane-boundary
g029,quorum health,51,35,17,52,309,ship,baseline,monotonic-signal
g030,lease drift,57,26,34,42,270,ship,edge,drag-penalty
g031,replica lag,108,24,23,41,492,ship,recovery,confidence-floor
g032,membership churn,66,61,40,88,421,ship,negative,lane-boundary
g033,quorum health,31,47,29,73,259,ship,baseline,monotonic-signal
g034,lease drift,105,42,4,27,508,ship,edge,drag-penalty
g035,replica lag,58,77,14,52,385,ship,recovery,confidence-floor
g036,membership churn,38,62,12,26,242,ship,negative,lane-boundary
g037,quorum health,75,22,21,60,400,ship,baseline,monotonic-signal
g038,lease drift,53,75,27,82,397,ship,edge,drag-penalty
g039,replica lag,46,69,32,97,383,ship,recovery,confidence-floor
g040,membership churn,46,33,36,66,277,ship,negative,lane-boundary
g041,quorum health,93,53,39,49,445,ship,baseline,monotonic-signal
g042,lease drift,32,30,21,94,304,ship,edge,drag-penalty
g043,replica lag,93,21,14,78,521,ship,recovery,confidence-floor
g044,membership churn,39,54,12,75,336,ship,negative,lane-boundary
g045,quorum health,60,73,33,35,317,ship,baseline,monotonic-signal
g046,lease drift,30,50,24,62,246,ship,edge,drag-penalty
g047,replica lag,62,76,21,80,442,ship,recovery,confidence-floor
g048,membership churn,38,22,21,51,234,ship,negative,lane-boundary
g049,quorum health,117,67,44,41,529,ship,baseline,monotonic-signal
g050,lease drift,116,22,36,40,494,ship,edge,drag-penalty
g051,replica lag,75,37,12,87,487,ship,recovery,confidence-floor
g052,membership churn,102,12,44,72,476,ship,negative,lane-boundary
g053,quorum health,31,37,19,26,175,watch,baseline,monotonic-signal
g054,lease drift,87,8,8,51,442,ship,edge,drag-penalty
g055,replica lag,31,75,25,25,199,ship,recovery,confidence-floor
g056,membership churn,94,41,14,59,507,ship,negative,lane-boundary
g057,quorum health,85,62,31,81,502,ship,baseline,monotonic-signal
g058,lease drift,84,40,41,96,486,ship,edge,drag-penalty
g059,replica lag,87,31,39,65,431,ship,recovery,confidence-floor
g060,membership churn,92,29,6,48,481,ship,negative,lane-boundary
g061,quorum health,98,66,12,93,620,ship,baseline,monotonic-signal
g062,lease drift,61,52,17,77,416,ship,edge,drag-penalty
g063,replica lag,107,47,21,74,581,ship,recovery,confidence-floor
g064,membership churn,72,12,24,34,320,ship,negative,lane-boundary
g065,quorum health,58,67,6,61,409,ship,baseline,monotonic-signal
g066,lease drift,99,27,41,79,499,ship,edge,drag-penalty
g067,replica lag,79,10,39,50,348,ship,recovery,confidence-floor
g068,membership churn,116,74,18,40,582,ship,negative,lane-boundary
g069,quorum health,94,38,9,39,474,ship,baseline,monotonic-signal
g070,lease drift,87,58,6,86,566,ship,edge,drag-penalty
g071,replica lag,87,35,6,71,513,ship,recovery,confidence-floor
g072,membership churn,46,26,29,25,202,ship,negative,lane-boundary
g073,quorum health,73,59,21,50,409,ship,baseline,monotonic-signal
g074,lease drift,46,8,39,24,162,watch,edge,drag-penalty
g075,replica lag,80,55,29,58,433,ship,recovery,confidence-floor
g076,membership churn,101,11,4,80,567,ship,negative,lane-boundary
g077,quorum health,71,27,35,95,431,ship,baseline,monotonic-signal
g078,lease drift,103,72,10,64,592,ship,edge,drag-penalty
g079,replica lag,79,27,41,47,355,ship,recovery,confidence-floor
g080,membership churn,70,42,16,92,474,ship,negative,lane-boundary
g081,quorum health,69,17,26,76,393,ship,baseline,monotonic-signal
g082,lease drift,116,42,24,73,604,ship,edge,drag-penalty
g083,replica lag,55,13,33,33,233,ship,recovery,confidence-floor
g084,membership churn,72,10,39,60,340,ship,negative,lane-boundary
g085,quorum health,40,46,44,78,274,ship,baseline,monotonic-signal
g086,lease drift,72,67,6,49,441,ship,edge,drag-penalty
